	Famp	Fphase	w
0	(1.9927650212332622-0.46758272045766697j)	-0.23047093334591082	0.571151838859229
1	(2.30021415340569-0.6706360785755555j)	-0.2836900486000372	1.142303677718458
2	(2.632468301661204-0.6683036249752682j)	-0.24861729279229178	1.7134555165776872
3	(2.9326351032260365-0.510826343431717j)	-0.17245652823599106	2.284607355436916
4	(3.170798893335097-0.22158312354731077j)	-0.06976900139984334	2.8557591942961453
5	(3.3208229121176305+0.16724665889575743j)	0.05032050030563181	3.4269110331553745
6	(3.364626913387515+0.6132600599499162j)	0.18028780820801818	3.9980628720146036
7	(3.2954576561039204+1.0689321918975172j)	0.3136577497205587	4.569214710873832
8	(3.118916108508406+1.4885609736275578j)	0.4452977473586527	5.140366549733061
9	(2.8518106057942108+1.834806440947601j)	0.5717094720118682	5.711518388592291
10	(2.519287265839093+2.0833413595649954j)	0.6909631669559623	6.282670227451519
11	(2.1509328572063+2.2248056935879377j)	0.8022789295697953	6.853822066310749
12	(1.7766381904452793+2.2639663427435224j)	0.9054261520538962	7.424973905169978
13	(1.4229385127060188+2.216615432272371j)	1.0001066643840675	7.996125744029207
14	(1.1103424713709187+2.1051657564486033j)	1.0854407461229096	8.567277582888437
15	(0.8518865226928468+1.954042082231515j)	1.159678201254121	9.138429421747665
16	(0.6528815343429799+1.785820614375189j)	1.2202992648963156	9.709581260606894
17	(0.5116159433523524+1.6187093421298493j)	1.2646677339562498	10.280733099466122
18	(0.42068089024005245+1.4655121304304601j)	1.2912586470876903	10.851884938325354
19	(0.3685888339886933+1.3338138810316988j)	1.3011828709425266	11.423036777184581
20	(0.3414397396969253+1.2268703914610284j)	1.2993634346094498	11.994188616043811
21	(0.3245019803084706+1.1446367629659306j)	1.2945470884135193	12.565340454903039
22	(0.303671642530901+1.0845086658919785j)	1.2977797435955367	13.13649229376227
23	(0.2668212796572557+1.041611644973343j)	1.3200266337837692	13.707644132621498
24	(0.20503805407900483+1.00875455231711j)	1.3702694549322465	14.278795971480728
25	(0.1136965658402642+0.976366133078199j)	1.4548697461356215	14.849947810339955
26	(-0.006754800236055171+0.9327932218140857j)	1.578037676764203	15.421099649199185
27	(-0.15045739130360977+0.8652401990073806j)	1.7429656415406214	15.992251488058415
28	(-0.3064098573300408+0.7614100890000687j)	1.9533907958428416	16.563403326917644
29	(-0.4594247319367497+0.6116437427568999j)	2.2150210455587986	17.134555165776874
30	(-0.5917425910700241+0.4111332707098994j)	2.534375960893822	17.7057070046361
31	(-0.6851389119213873+0.1616820414943797j)	2.909848090351993	18.27685884349533
32	(-0.7232456359185407-0.12746866573244436j)	-2.967138918189361	18.84801068235456
33	(-0.6937492466944671-0.44003876145224013j)	-2.5763401965690225	19.41916252121379
34	(-0.5901375007023038-0.7543530222332034j)	-2.2346568835284244	19.990314360073018
35	(-0.4127452541533012-1.0459661569624041j)	-1.9466446787100378	20.561466198932244
36	(-0.16897485179904992-1.290793055841935j)	-1.7009639192970707	21.132618037791477
37	(0.12729448456623824-1.468178220987323j)	-1.4843102696774995	21.703769876650707
38	(0.4569747281390577-1.563388113225317j)	-1.2864207686681033	22.274921715509933
39	(0.7975065316218481-1.5691752951916444j)	-1.1005841002032113	22.846073554369163
40	(1.1248371877050882-1.4862891156531681j)	-0.9229515923316749	23.417225393228392
41	(1.415435092623219-1.3230274770430868j)	-0.7516666213655179	23.988377232087622
42	(1.6481874423431062-1.0940799809808326j)	-0.5860209024988344	24.55952907094685
43	(1.8060800711416047-0.8189720256149584j)	-0.42572154609716956	25.130680909806077
44	(1.8775925690117907-0.5203829735404599j)	-0.27036800033012387	25.701832748665307
45	(1.8577501373427383-0.22250991307668633j)	-0.11920599460510253	26.27298458752454
46	(1.7487617210866004+0.05047029335654662j)	0.028852580054778493	26.844136426383766
47	(1.5601580897596838+0.27587604893179146j)	0.17501656659440573	27.415288265242996
48	(1.3083437953561405+0.4339938897764054j)	0.32029102592255976	27.98644010410223
49	(1.0155088807375185+0.5095665813358875j)	0.4650741624966482	28.557591942961455
50	(0.7079142104753943+0.4932225161907334j)	0.608525533818815	29.12874378182068
51	(0.4136587310751114+0.382672391473678j)	0.7465064082461575	29.69989562067991
52	(0.16013640313266608+0.18343391316264016j)	0.8531045345858346	30.271047459539144
53	(-0.028531867848312898-0.09115225228195682j)	-1.8741487651347835	30.84219929839837
54	(-0.13377399746934618-0.4207711122740145j)	-1.8786166195783	31.413351137257596
55	(-0.14425938511413708-0.7798581127903549j)	-1.7537102815840142	31.98450297611683
56	(-0.05680019616505983-1.1400403220751514j)	-1.6205781336553728	32.55565481497606
57	(0.12362593520843367-1.4729823183581108j)	-1.4870635640246148	33.12680665383529
58	(0.384686790579796-1.7532340504698358j)	-1.3548035711147999	33.69795849269452
59	(0.708181112125824-1.9606725425614793j)	-1.224185060528123	34.26911033155375
60	(1.0719670374047978-2.082210061590765j)	-1.0953617446761377	34.84026217041297
61	(1.4520800426520883-2.112585295375785j)	-0.9686125998441418	35.4114140092722
62	(1.8248121234827654-2.0542224803551767j)	-0.8444704514801636	35.982565848131436
63	(2.168579336604505-1.9162939300307726j)	-0.7237156216991651	36.55371768699066
64	(2.465468484100587-1.7132206277423903j)	-0.607285796699515	37.12486952584989
65	(2.7024057603617884-1.462877983648042j)	-0.49615803523635865	37.69602136470912
66	(2.8719193315121743-1.184744849211454j)	-0.39125882626896935	38.26717320356835
67	(2.9724745105878645-0.8981657536983907j)	-0.2934381461836701	38.83832504242758
68	(3.008355324951997-0.6208194915650042j)	-0.2035082719240978	39.40947688128681
69	(2.989066195056451-0.36742936631640233j)	-0.12231087266220982	39.980628720146036
70	(2.928247012780605-0.1487275394137262j)	-0.050747032637899925	40.551780559005266
71	(2.8421410863782475+0.02930223428971221j)	0.010309550175268436	41.12293239786449
72	(2.7477236948053827+0.16584781083150257j)	0.06028511859848453	41.694084236723725
73	(2.660673913969639+0.26527468195236653j)	0.09937365806801818	42.265236075582955
74	(2.5934320877142953+0.3366308984883078j)	0.12907961725158118	42.83638791444218
75	(2.553608622239404+0.39260600399873025j)	0.1525510651885561	43.407539753301414
76	(2.542983374594323+0.4479763837674729j)	0.17437266552050212	43.97869159216064
77	(2.557258323941695+0.5176685027990705j)	0.1997320170554199	44.549843431019866
78	(2.58661285573447+0.6146659119465938j)	0.23330618548620613	45.120995269879096
79	(2.61698476328419+0.7480475898269582j)	0.278418942556874	45.692147108738325
80	(2.6318887354949885+0.9214534316676465j)	0.33677378178082695	46.263298947597555
81	(2.614511388811445+1.1322207339063792j)	0.40867138191689456	46.834450786456784
82	(2.549800950250754+1.371332814224214j)	0.49344355168110476	47.405602625316014
83	(2.4262998091141745+1.6241903723834947j)	0.5898997198621465	47.976754464175244
84	(2.2375358588480303+1.872087453514902j)	0.6967064168545716	48.54790630303447
85	(1.982872503280433+2.0941746922902387j)	0.8126910903180459	49.1190581418937
86	(1.6677952217778529+2.269641223798226j)	0.9370764191895267	49.69020998075293
87	(1.3036684904944849+2.3798477909777103j)	1.0696476646250495	50.261361819612155
88	(0.9070248613154441+2.4101879956196877j)	1.2108605707136608	50.832513658471385
89	(0.49845335686840786+2.3515236567381144j)	1.3619177285343906	51.403665497330614
90	(0.1011501136699225+2.201112403166789j)	1.5248745458790465	51.97481733618985
91	(-0.2608045516533802+1.963003643260939j)	1.7028827085218867	52.54596917504908
92	(-0.5643610666395893+1.6479146814312384j)	1.9007470707575416	53.11712101390831
93	(-0.7894906199666115+1.272614177459184j)	2.1260586850667837	53.68827285276753
94	(-0.9210886631816351+0.8588456331724335j)	2.3911495317466263	54.25942469162676
95	(-0.9505923596183368+0.431832420163639j)	2.7151875168224273	54.83057653048599
96	(-0.8770996232052738+0.018428454760055682j)	3.1205850698980173	55.401728369345214
97	(-0.7078035250881526-0.3549820425779171j)	-2.67672479591347	55.97288020820446
98	(-0.45762481831885216-0.6646824057882816j)	-2.1737531966686223	56.54403204706368
99	(-0.1480286337261163-0.8917190240082074j)	-1.7352998605175518	57.11518388592291
100	(0.1948703379147999-1.0236677439934398j)	-1.3826822835836563	57.68633572478214
101	(0.5427018071943221-1.055851592101267j)	-1.0960159774996963	58.25748756364136
102	(0.8674466889922623-0.9918375569839384j)	-0.8522011688560831	58.82863940250059
103	(1.1439465088614456-0.8431234571348409j)	-0.6351488200271079	59.39979124135982
104	(1.3520346583576268-0.6280310825637502j)	-0.43485316824727904	59.97094308021906
105	(1.4780819792938502-0.3699285212447551j)	-0.24523845921517246	60.54209491907829
106	(1.515846636171207-0.09499178361146965j)	-0.06258399040974431	61.11324675793751
107	(1.4666166704349075+0.1702326727028187j)	0.11555459773192107	61.68439859679674
108	(1.3387128149128542+0.4011944263168898j)	0.2911693388952647	62.25555043565597
109	(1.1464674473862395+0.5773961079936522j)	0.46654788261089636	62.82670227451519
