	res_adaptive	time_adaptive	w
0	(1.0281684915639873-0.02704947392795972j)	0.10590696334838867	0.001
1	(1.282244237298318-0.2927521967618366j)	0.09490299224853516	0.09633
2	(1.408645996142549-0.4177184885689664j)	0.10140705108642578	0.19166
3	(1.5134376687177669-0.5124270942545698j)	0.0837550163269043	0.28698
4	(1.6086159622129375-0.5897548193019625j)	0.08612298965454102	0.38231
5	(1.6981908775788515-0.6550098142257799j)	0.09445810317993164	0.47764
6	(1.7845649026901391-0.7106749707819491j)	0.09067535400390625	0.57297
7	(1.868593334828917-0.7581668564934658j)	0.09258294105529785	0.6683
8	(1.951090851315322-0.7985996619668547j)	0.0901179313659668	0.76362
9	(2.0324745904953345-0.8324448214708626j)	0.08212518692016602	0.85895
10	(2.112946702553071-0.8604297693555804j)	0.0856781005859375	0.95428
11	(2.192656666436419-0.8826679878645669j)	0.10651803016662598	1.04961
12	(2.271512251425851-0.8996036617100007j)	0.08347296714782715	1.14494
13	(2.3496332595933835-0.9113672434890073j)	0.0971221923828125	1.24026
14	(2.4268650766591224-0.9180958255506674j)	0.08504390716552734	1.33559
15	(2.5032747239170012-0.9200230277925447j)	0.0839698314666748	1.43092
16	(2.5786138285119664-0.9172580750641127j)	0.0984649658203125	1.52625
17	(2.6528925557422283-0.9098453130116559j)	0.09270811080932617	1.62157
18	(2.7258272021180785-0.8979951768020571j)	0.08324098587036133	1.7169
19	(2.797386632659345-0.8818351498374353j)	0.0843801498413086	1.81223
20	(2.867359094228995-0.8613439310175796j)	0.09942293167114258	1.90756
21	(2.9356325747244503-0.8367142748709028j)	0.08317780494689941	2.00289
22	(3.0020460223825896-0.8081272844898765j)	0.08668184280395508	2.09821
23	(3.0663630114369878-0.7756053522590234j)	0.09802699089050293	2.19354
24	(3.128539389707579-0.7392674978949098j)	0.08285069465637207	2.28887
25	(3.1883060837830164-0.6993322096068609j)	0.09380102157592773	2.3842
26	(3.245557551342842-0.6558715025554519j)	0.09568428993225098	2.47953
27	(3.300163246811858-0.6090458149637746j)	0.0827329158782959	2.57485
28	(3.351921806044126-0.5589410544701454j)	0.11040592193603516	2.67018
29	(3.400698935460213-0.5058326033076728j)	0.09746503829956055	2.76551
30	(3.4463513867609064-0.4497510570852962j)	0.08197593688964844	2.86084
31	(3.4887192748795615-0.3909683910372548j)	0.08193802833557129	2.95617
32	(3.5277327336162054-0.3296787022141392j)	0.09491705894470215	3.05149
33	(3.5631653321469137-0.2659707578475486j)	0.0846700668334961	3.14682
34	(3.5949736452411267-0.20010356719750966j)	0.08263111114501953	3.24215
