	res_adaptive	time_adaptive	w
0	(1.0030946019030103-0.0023896665296651762j)	0.12826013565063477	0.001
1	(1.0632896609097453-0.1681746234463137j)	0.1035609245300293	0.09633
2	(1.1186994814482603-0.2820919035741081j)	0.0928959846496582	0.19166
3	(1.1720906116199248-0.37844751060725895j)	0.08747506141662598	0.28698
4	(1.22498355542933-0.4647144996856513j)	0.11488699913024902	0.38231
5	(1.2783223011017244-0.5430026760541399j)	0.09536218643188477	0.47764
6	(1.33223679744155-0.6149588073871851j)	0.08795905113220215	0.57297
7	(1.3869281836562855-0.6810440904427735j)	0.09629392623901367	0.6683
8	(1.4421156356038023-0.7422434026623912j)	0.09561705589294434	0.76362
9	(1.49815678361687-0.7988581193174454j)	0.08457398414611816	0.85895
10	(1.5546723064665076-0.8509178023507054j)	0.08569025993347168	0.95428
11	(1.6115772268072233-0.8989744354554297j)	0.11046195030212402	1.04961
12	(1.6686769988086418-0.9430809544819027j)	0.08447885513305664	1.14494
13	(1.7259602095364535-0.9836403967378478j)	0.08286905288696289	1.24026
14	(1.7833843292400315-1.0207452530793735j)	0.10357785224914551	1.33559
15	(1.8405094125889423-1.0545507162560555j)	0.08653783798217773	1.43092
16	(1.8976024176906696-1.0853214900475692j)	0.12564706802368164	1.52625
17	(1.9543795679183726-1.1131900780914123j)	0.0846250057220459	1.62157
18	(2.010815021959327-1.1382954135632122j)	0.08590126037597656	1.7169
19	(2.0668113410573365-1.1607608445627156j)	0.08780312538146973	1.81223
20	(2.1223978572540765-1.1808671045998416j)	0.10533809661865234	1.90756
21	(2.1775606340925457-1.1985957686696083j)	0.09577488899230957	2.00289
22	(2.2321806530805484-1.2140297706044647j)	0.10932087898254395	2.09821
23	(2.286283977614134-1.2274809703069074j)	0.09089398384094238	2.19354
24	(2.339857374481872-1.2388830712452947j)	0.08470487594604492	2.28887
25	(2.3927127989312824-1.2483464869583099j)	0.11162281036376953	2.3842
26	(2.4451652380270326-1.2559482029694355j)	0.09090423583984375	2.47953
27	(2.4968658302411946-1.261811481456688j)	0.08357930183410645	2.57485
28	(2.548013183045585-1.2660693958750568j)	0.0943150520324707	2.67018
29	(2.598578708702421-1.2686224509589201j)	0.10521578788757324	2.76551
30	(2.6484906204575624-1.2696223199861347j)	0.08615398406982422	2.86084
31	(2.6977947119414236-1.2691927498064852j)	0.09446978569030762	2.95617
32	(2.746375330826812-1.2671907468546462j)	0.12215018272399902	3.05149
33	(2.7944261150514103-1.2639097317984693j)	0.09305071830749512	3.14682
34	(2.8417206118766947-1.2591692950349191j)	0.10628485679626465	3.24215
35	(2.8884137835444252-1.253174742707072j)	0.10222291946411133	3.33748
36	(2.934463688441711-1.2459210761854522j)	0.11162590980529785	3.43281
37	(2.9797877324011575-1.2373640097031153j)	0.10125994682312012	3.52813
38	(3.024422274969189-1.2277235264948798j)	0.1071481704711914	3.62346
39	(3.068399439760189-1.2167879920905162j)	0.09325385093688965	3.71879
40	(3.111751241518059-1.2048030645505163j)	0.10343503952026367	3.81412
41	(3.1543339957376477-1.191704326291243j)	0.09439325332641602	3.90945
42	(3.196220473744274-1.177526841018643j)	0.08760809898376465	4.00477
43	(3.2372285447426736-1.1621355480595907j)	0.09033393859863281	4.1001
44	(3.277893704935305-1.1460607430904874j)	0.10166025161743164	4.19543
45	(3.3176617617657156-1.1289095977643437j)	0.08504986763000488	4.29076
46	(3.356648627707036-1.110714967767225j)	0.09702277183532715	4.38608
47	(3.394917350353704-1.091674906442303j)	0.1257801055908203	4.48141
48	(3.4324827685358894-1.0716929657717031j)	0.08907794952392578	4.57674
49	(3.4692756437629715-1.0507919850550136j)	0.09242701530456543	4.67207
50	(3.505276124520564-1.029101858183982j)	0.09487700462341309	4.7674
51	(3.5406222222890507-1.0065508578925777j)	0.08538699150085449	4.86272
52	(3.575113650335493-0.9832271663815046j)	0.11301803588867188	4.95805
53	(3.608842890482853-0.9590537498962542j)	0.08286190032958984	5.05338
54	(3.641783781095011-0.9341440200307611j)	0.08348798751831055	5.14871
55	(3.673918632647554-0.9085195050041628j)	0.10453128814697266	5.24404
56	(3.7052870978013224-0.8823276284398888j)	0.0878300666809082	5.33936
57	(3.7359225441185577-0.8551334212913113j)	0.1091761589050293	5.43469
58	(3.7656926390820695-0.8273539985678768j)	0.0851891040802002	5.53002
59	(3.7946332246395853-0.7989998421703491j)	0.08494400978088379	5.62535
60	(3.8229388071773247-0.7700536976680221j)	0.0862278938293457	5.72068
61	(3.8500989648282573-0.7403626975683987j)	0.08911728858947754	5.816
62	(3.876569340321924-0.710141486585243j)	0.1040499210357666	5.91133
63	(3.9022715899458333-0.6793687214215572j)	0.0989840030670166	6.00666
64	(3.927098085073201-0.6480754598900844j)	0.10269999504089355	6.10199
65	(3.951072514567566-0.6162219419443083j)	0.08524298667907715	6.19732
