	res_adaptive	time_adaptive	w
0	(0.9912571059458285+0.07070315341184491j)	0.32895898818969727	0.001
1	(1.0614461712045171-0.17187759627677737j)	0.36578989028930664	0.09633
2	(1.1185526704829793-0.2823252105495113j)	0.37214207649230957	0.19166
3	(1.1764486703145085-0.38132988480968766j)	0.36237025260925293	0.28698
4	(1.223516974631255-0.4611244341793354j)	0.43685388565063477	0.38231
5	(1.2779671718607277-0.5448019054616962j)	0.47429871559143066	0.47764
6	(1.3319588651002543-0.6133763850947412j)	0.4011220932006836	0.57297
7	(1.3889909771487186-0.6808127105058487j)	0.3242518901824951	0.6683
8	(1.440440680216034-0.7401116265783044j)	0.3297579288482666	0.76362
9	(1.4982603798202052-0.8001992254327913j)	0.3505997657775879	0.85895
10	(1.5545365940239715-0.8511246673588827j)	0.32038187980651855	0.95428
11	(1.6130806249729526-0.8982771214493357j)	0.37746500968933105	1.04961
12	(1.666304176768355-0.9426612984167657j)	0.3839681148529053	1.14494
13	(1.7264266491579305-0.984803869341574j)	0.3452911376953125	1.24026
14	(1.7832890113896325-1.0208793826065654j)	0.3728790283203125	1.33559
15	(1.841614202792463-1.0531750587588866j)	0.38057518005371094	1.43092
16	(1.8954849205590192-1.0852002515794983j)	0.40004706382751465	1.52625
17	(1.955008151510618-1.1140768463561286j)	0.38152599334716797	1.62157
18	(2.01080129078737-1.138370553311121j)	0.3692657947540283	1.7169
19	(2.06752331203897-1.159805860077042j)	0.3377408981323242	1.81223
20	(2.1207015029345286-1.1815094756863576j)	0.36844515800476074	1.90756
21	(2.1794728889403094-1.2006151010945874j)	0.4183077812194824	2.00289
22	(2.2322087773144643-1.214105253718583j)	0.37107014656066895	2.09821
23	(2.286603586145788-1.225300189618526j)	0.3387181758880615	2.19354
24	(2.3384427988549508-1.2398658178570137j)	0.36675190925598145	2.28887
25	(2.3945369997990142-1.2482846591196415j)	0.4460139274597168	2.3842
26	(2.444044575601507-1.2552539856571394j)	0.35436010360717773	2.47953
27	(2.4969319095805274-1.2609092645400233j)	0.3370859622955322	2.57485
28	(2.547086982917541-1.2672732064268877j)	0.35030221939086914	2.67018
29	(2.6001597783448975-1.268128391363882j)	0.32468509674072266	2.76551
30	(2.6473181860789103-1.2690239723247918j)	0.38028812408447266	2.86084
31	(2.6982420022671714-1.2686823954428716j)	0.3832077980041504	2.95617
32	(2.74586348304329-1.268554523531269j)	0.3033721446990967	3.05149
33	(2.7938130595422614-1.2630580124342676j)	0.39157605171203613	3.14682
34	(2.8405476310696196-1.2583616567654425j)	0.38666796684265137	3.24215
35	(2.887195129785556-1.2534656606258907j)	0.4184610843658447	3.33748
36	(2.9345672517450314-1.246304577996989j)	0.5183930397033691	3.43281
37	(2.9805759630694655-1.2362763605794636j)	0.5041139125823975	3.52813
38	(3.0233440367496724-1.2279438153446842j)	0.4058208465576172	3.62346
39	(3.068008834495172-1.2151080758769521j)	0.40793514251708984	3.71879
40	(3.111934662013138-1.2051075553659016j)	0.4247291088104248	3.81412
41	(3.1543414558532525-1.1906441107160524j)	0.4790518283843994	3.90945
42	(3.195269121855518-1.1780734094821181j)	0.48582005500793457	4.00477
43	(3.237853604979126-1.162366525748747j)	0.4309680461883545	4.1001
44	(3.2764738655245473-1.1461016721078046j)	0.5316529273986816	4.19543
45	(3.317376292101102-1.1279601888218986j)	0.40825605392456055	4.29076
46	(3.3559011128084713-1.1115151725286077j)	0.6594431400299072	4.38608
47	(3.3953797564747714-1.0913328339278934j)	0.4414191246032715	4.48141
48	(3.4327475216540733-1.071802591640587j)	0.39386487007141113	4.57674
49	(3.4688090872736406-1.0500226481748753j)	0.4994192123413086	4.67207
50	(3.5052249302368237-1.0303569217535036j)	0.48243284225463867	4.7674
51	(3.540972671496911-1.0050439974971699j)	0.32882189750671387	4.86272
52	(3.5753440337117266-0.9832372809529365j)	0.41893672943115234	4.95805
53	(3.6094257625029824-0.958431064400493j)	0.6239769458770752	5.05338
54	(3.6420286675547584-0.9353296004715084j)	0.6157228946685791	5.14871
55	(3.674402400142161-0.9074674880927976j)	0.40859293937683105	5.24404
56	(3.7055360930230425-0.88213483775493j)	0.5519630908966064	5.33936
57	(3.7358597850775848-0.8561682922790277j)	0.4600520133972168	5.43469
58	(3.765710296574407-0.8284134290627843j)	0.380216121673584	5.53002
59	(3.7944490227955048-0.7979098111204664j)	0.37856411933898926	5.62535
60	(3.822287696564331-0.7705167107033762j)	0.3252401351928711	5.72068
61	(3.849835757539153-0.7401962965245644j)	0.308499813079834	5.816
62	(3.877346665598906-0.7109708486341524j)	0.3572123050689697	5.91133
63	(3.9020969834601544-0.6783215813469081j)	0.32813024520874023	6.00666
64	(3.926763344312189-0.6486980600453915j)	0.32692670822143555	6.10199
65	(3.951171878262455-0.6161614234394501j)	0.3012428283691406	6.19732
66	(3.975133771875358-0.5844088436685517j)	0.3309459686279297	6.29264
67	(3.996088373965652-0.5500432898184582j)	0.3301429748535156	6.38797
68	(4.017824227944066-0.5183913871988314j)	0.3203439712524414	6.4833
69	(4.038649404307566-0.4838435579892446j)	0.30095410346984863	6.57863
