	res_adaptive	time_adaptive	w
0	(1.4067359483442654+4.493837959393224j)	0.10351800918579102	0.001
1	(2.30631715754073-1.024125450151115j)	0.09157681465148926	0.09633
2	(2.919056004413082-1.4060993719587285j)	0.1082150936126709	0.19166
3	(3.389778088486939-1.6462889903518851j)	0.10465383529663086	0.28698
4	(3.79403614675342-1.7978935050090066j)	0.0933840274810791	0.38231
5	(4.20507698890442-1.878932827284857j)	0.10344290733337402	0.47764
6	(4.589641423688056-1.8950957033469453j)	0.09467124938964844	0.57297
7	(4.978124782719846-1.8558261768516449j)	0.11283612251281738	0.6683
8	(5.317286963810556-1.7596735313476841j)	0.09327912330627441	0.76362
9	(5.645702633109125-1.619682576529393j)	0.10392427444458008	0.85895
10	(5.9456201749180835-1.4323098055881553j)	0.12046504020690918	0.95428
11	(6.213938944086272-1.2066696700154216j)	0.11875319480895996	1.04961
12	(6.384130124506668-0.9468481354236411j)	0.21338295936584473	1.14494
13	(6.636604198463804-0.6500499717500199j)	0.22280192375183105	1.24026
14	(6.785191990092862-0.3265051491454488j)	0.1328287124633789	1.33559
15	(6.889512318145634+0.009556756537374422j)	0.11209607124328613	1.43092
16	(6.942793965220214+0.3619178389969466j)	0.10923504829406738	1.52625
17	(6.950526173306478+0.7216483757603536j)	0.0953216552734375	1.62157
18	(6.906134454834523+1.0822481350046966j)	0.10839724540710449	1.7169
19	(6.821662302202025+1.4378106695841584j)	0.17767906188964844	1.81223
20	(6.673250593779634+1.7826072101652186j)	0.1867380142211914	1.90756
21	(6.496653648324505+2.1057245255541357j)	0.1031649112701416	2.00289
22	(6.256831409409233+2.4102384826754175j)	0.12855219841003418	2.09821
23	(5.988518612623682+2.6858680778253716j)	0.14043307304382324	2.19354
24	(5.678369577772981+2.9197050251097534j)	0.16977882385253906	2.28887
25	(5.3465991985756345+3.1124118753680388j)	0.20623421669006348	2.3842
26	(4.976485794762243+3.2722010815228306j)	0.11804008483886719	2.47953
27	(4.588375112733539+3.3799920738323754j)	0.12761497497558594	2.57485
28	(4.202385749968132+3.435281822473748j)	0.12553095817565918	2.67018
29	(3.7773644133795825+3.445117927617548j)	0.1089789867401123	2.76551
30	(3.3578937950689776+3.3963606506194597j)	0.12347793579101562	2.86084
31	(2.9617073480153917+3.30274888306543j)	0.1603703498840332	2.95617
32	(2.568507595646371+3.1530607571055445j)	0.10863590240478516	3.05149
33	(2.1934984603862735+2.953432408751322j)	0.08286190032958984	3.14682
34	(1.8439415864835689+2.7058147211023105j)	0.0861959457397461	3.24215
35	(1.5292352995629526+2.4147294011414298j)	0.10281682014465332	3.33748
36	(1.2435648663101564+2.0825654983753092j)	0.08414983749389648	3.43281
37	(1.0050771880375644+1.7179552371455769j)	0.10335803031921387	3.52813
38	(0.8106301488248736+1.3182077168153437j)	0.08508801460266113	3.62346
39	(0.687171363770551+0.9000886093680311j)	0.10731172561645508	3.71879
40	(0.5831796039533561+0.4613276447228268j)	0.12067365646362305	3.81412
41	(0.5441851756802516+0.008553764842665429j)	0.08678078651428223	3.90945
42	(0.5664925313046837-0.44598733673673346j)	0.09598898887634277	4.00477
43	(0.645210071839633-0.894199362952351j)	0.13105487823486328	4.1001
44	(0.7820428008724317-1.3321334168298025j)	0.08460807800292969	4.19543
45	(0.9734448897032404-1.7518967100056775j)	0.08857393264770508	4.29076
46	(1.2162895023912776-2.147634724679512j)	0.11754083633422852	4.38608
47	(1.5105641729635004-2.5115679051214554j)	0.18062901496887207	4.48141
48	(1.8490947515255327-2.8345623991463484j)	0.11046195030212402	4.57674
49	(2.2320537358932016-3.1158498159990953j)	0.08618807792663574	4.67207
50	(2.637659690412158-3.3494891260169135j)	0.09052801132202148	4.7674
51	(3.074346550609512-3.529843971574107j)	0.09638500213623047	4.86272
52	(3.5412227896899298-3.652455240185953j)	0.09095597267150879	4.95805
53	(4.016417860885282-3.719649929437227j)	0.0927879810333252	5.05338
54	(4.50005664640012-3.7205267777026103j)	0.11194801330566406	5.14871
55	(4.981059909639804-3.663162864724337j)	0.09651994705200195	5.24404
56	(5.45398243852294-3.5461289729316254j)	0.08523988723754883	5.33936
57	(5.909458457501804-3.3679133940059423j)	0.10858392715454102	5.43469
58	(6.340006090143498-3.1320879906372543j)	0.0952460765838623	5.53002
59	(6.74064003466786-2.8430490099774888j)	0.08679699897766113	5.62535
60	(7.104030345112855-2.506604348863069j)	0.0858759880065918	5.72068
61	(7.4151512524574965-2.1215272605332283j)	0.10534000396728516	5.816
62	(7.6859640625237935-1.6986882966144554j)	0.0835561752319336	5.91133
63	(7.899042863420216-1.2436270731888623j)	0.08385777473449707	6.00666
64	(8.053082591622388-0.7640496304947675j)	0.10010123252868652	6.10199
65	(8.145696086049565-0.26973374450029697j)	0.08604693412780762	6.19732
66	(8.17461003328834+0.24161058193341223j)	0.11178207397460938	6.29264
67	(8.137176947119475+0.7516921307283861j)	0.09989809989929199	6.38797
68	(8.037028033245592+1.2530126279117442j)	0.08509111404418945	6.4833
69	(7.872563349069591+1.7421333203157627j)	0.10021400451660156	6.57863
70	(7.646960470518027+2.2058266061630083j)	0.0863790512084961	6.67396
71	(7.361814917047459+2.6397677628471974j)	0.08376502990722656	6.76928
72	(7.0256542275604605+3.0364260889618646j)	0.0918111801147461	6.86461
73	(6.638985054448642+3.3885265308525874j)	0.09212422370910645	6.95994
74	(6.208930424464764+3.6898155503245436j)	0.08704185485839844	7.05527
75	(5.741378468241181+3.934876639383445j)	0.08327293395996094	7.15059
76	(5.247459277630776+4.1202621036425455j)	0.11020302772521973	7.24592
77	(4.728070931761567+4.2408368041713125j)	0.08488702774047852	7.34125
78	(4.197198035032104+4.295665193241526j)	0.0835120677947998	7.43658
79	(3.662930425092391+4.282666696028865j)	0.10106801986694336	7.53191
